;parameters;parameters with noise
0;[-2.36943710e-01  1.57302197e-08  1.21540591e+00];[-2.35789280e-01  2.89697360e-05  1.53421794e+00]
1;[-2.35781602e-01 -5.57326959e-05  1.53419031e+00];[-2.35998367e-01 -1.25209882e-06  1.47201200e+00]
2;[-2.35746771e-01 -9.77247317e-05  1.53416718e+00];[-2.35760133e-01  8.72035109e-06  1.53415239e+00]
3;[-2.35745219e-01  3.53696155e-12  1.53861108e+00];[-2.35767503e-01  3.32928032e-04  1.53426294e+00]
4;[-2.35759230e-01 -8.37174284e-05  1.53421316e+00];[-2.35732355e-01  1.66582027e-05  1.53421563e+00]
5;[-2.35749180e-01 -1.86740968e-07  1.52842543e+00];[-2.36391722e-01 -4.58341021e-06  1.36588990e+00]
6;[-2.36277240e-01 -4.12958095e-11  1.37440630e+00];[-3.59631811e-01  4.74619374e-06  6.45491329e-01]
7;[-2.35750050e-01  6.07495932e-12  1.52469819e+00];[-2.36255256e-01 -6.54116560e-07  1.38499337e+00]
8;[-2.39872929e-01  1.15542525e-13  7.10559727e-01];[-2.35734691e-01  1.06107460e-05  1.53422570e+00]
9;[-2.36004311e-01  1.88347163e-06  1.45842165e+00];[-2.35990209e-01  3.77040323e-06  1.47287360e+00]
10;[-2.35737290e-01  2.42864763e-05  1.53423557e+00];[-2.35732831e-01  4.91602301e-06  1.53417809e+00]
11;[-2.35754144e-01 -1.07244190e-09  1.52771120e+00];[-2.35693955e-01 -2.98912882e-05  1.53416414e+00]
12;[-2.35763705e-01  5.14386417e-05  1.53023422e+00];[-2.35756017e-01 -6.02641819e-06  1.53416753e+00]
13;[-2.35769425e-01 -2.46757137e-10  1.53456332e+00];[-2.39509429e-01  1.31336373e-06  8.12696327e-01]
14;[-2.35824082e-01  4.71992453e-09  1.51787637e+00];[-2.36226542e-01  1.14970550e-06  1.43753477e+00]
15;[-2.35995994e-01  3.98448198e-07  1.48116862e+00];[-2.35983864e-01  2.47816021e-06  1.47099049e+00]
16;[-2.36130652e-01 -3.60585974e-05  1.43221679e+00];[-2.36003362e-01 -1.04927562e-06  1.49634548e+00]
17;[-2.36007234e-01 -3.42830191e-08  1.46463397e+00];[-2.35984904e-01  2.46547815e-06  1.47791955e+00]
18;[-2.35727049e-01 -5.50708735e-05  1.53419255e+00];[-2.35856187e-01 -2.19210675e-09  1.50762633e+00]
19;[-2.35737283e-01 -4.00196874e-05  1.53411602e+00];[-2.35772850e-01 -1.40021774e-06  1.53214928e+00]
