;parameters;standard deviation;distance;eps
0;[-2.35753832e-01 -2.14061079e-05  1.53426542e+00];0.0;0.5220043775623686;0.0
1;[-2.35743154e-01  1.02127764e-08  1.53419306e+00];1.8913047554218342e-11;0.5220641134602151;1e-10
2;[-2.35768886e-01 -4.05516345e-05  1.53419055e+00];1.8913047554218344e-10;0.5220779741123801;1e-09
3;[-2.35764022e-01 -4.09168063e-04  1.53428373e+00];1.8913047554218345e-09;0.5219928031045066;1e-08
4;[-2.35783007e-01 -2.18265994e-08  1.51867778e+00];1.8913047554218346e-08;0.5359708093569895;1e-07
5;[-2.35830822e-01  2.53194122e-07  1.53426919e+00];1.8913047554218346e-07;0.5220357867717013;1e-06
6;[-2.36221747e-01  1.65169947e-05  1.39920254e+00];1.8913047554218347e-06;0.6455682038861986;9.999999999999999e-06
7;[-2.35758722e-01  5.81237847e-06  1.53427620e+00];1.891304755421835e-05;0.521996970405708;9.999999999999999e-05
8;[-2.35802441e-01 -3.33005635e-04  1.53454705e+00];0.00018913047554218349;0.521775188520661;0.001
9;[-0.23553003  0.00253995  1.53947411];0.0018913047554218348;0.5172667973050867;0.01
10;[-0.23327012 -0.0207558   1.5425143 ];0.018913047554218347;0.5139444674112257;0.1
