;parameters;standard deviation;distance;eps
0;[[0.        0.9691577 0.        0.        0.9691577]];0.0;1.4578311658721799;0.0
1;"[[ 8.45657358e-13  9.69157697e-01  4.36570205e-13 -1.67969714e-12
   9.69157697e-01]]";3.3456637055841394e-12;1.4578311658716785;1e-10
2;"[[ 1.60809836e-11  9.69157697e-01 -4.45631150e-11  6.88458550e-12
   9.69157697e-01]]";3.3456637055841397e-11;1.4578311658737868;1e-09
3;"[[-8.83701052e-11  9.69157697e-01 -1.19996037e-10  1.35694156e-10
   9.69157697e-01]]";3.34566370558414e-10;1.4578311658752179;1e-08
4;"[[-4.61793532e-09  9.69157697e-01  2.52036710e-09 -1.25059417e-09
   9.69157696e-01]]";3.34566370558414e-09;1.4578311663185826;1e-07
5;"[[2.06754031e-08 9.69157657e-01 2.89787734e-09 1.27848125e-09
  9.69157657e-01]]";3.34566370558414e-08;1.4578312226236332;1e-06
6;"[[4.02997444e-07 9.69154149e-01 1.77953568e-07 6.56430434e-08
  9.69154143e-01]]";3.34566370558414e-07;1.4578361876721917;9.999999999999999e-06
7;"[[-3.15886234e-06  9.68804529e-01  2.41977031e-06 -4.55147798e-07
   9.68805025e-01]]";3.34566370558414e-06;1.458330269581869;9.999999999999999e-05
8;"[[-4.87612181e-05  9.35101160e-01  1.44219969e-05 -1.27938190e-05
   9.35180100e-01]]";3.34566370558414e-05;1.505938565262541;0.001
9;"[[ 3.84533144e-04  2.08822390e-01 -2.02731438e-04 -7.35704821e-05
   2.08921295e-01]]";0.00033456637055841404;2.5330377713938574;0.01
10;"[[ 5.19378988e-04  2.66717198e-03  1.38890584e-03 -1.85405025e-05
   2.64990194e-03]]";0.00334566370558414;2.8246677750271387;0.1
