;parameters;standard deviation;distance;eps
0;"[-6.88498613e-02 -1.91648009e-07 -1.35880132e-08  1.54041156e+00
 -7.14954707e-09  1.54041159e+00]";0.0;0.6535926391988152;0.0
1;"[-6.88497497e-02  5.75174544e-08  2.11082201e-07  1.54041155e+00
  4.64849965e-09  1.54041155e+00]";3.3456637055841406e-12;0.6535926615142856;1e-10
2;"[-6.88503238e-02 -1.09677808e-06 -3.82157896e-07  1.54041133e+00
  6.04368245e-07  1.54041131e+00]";3.345663705584141e-11;0.6535930504864041;1e-09
3;"[-6.88547748e-02  4.93615239e-06  2.94736242e-07  1.54040628e+00
 -8.47841597e-07  1.54041085e+00]";3.345663705584141e-10;0.6535973918233531;1e-08
4;"[-6.90265457e-02  1.70384271e-05 -1.11875009e-05  1.53998786e+00
 -2.19282722e-05  1.53999003e+00]";3.345663705584141e-09;0.6542056309325075;1e-07
5;"[-7.77261137e-02 -2.80517503e-05 -1.60716448e-04  1.53023914e+00
  8.44459146e-05  1.53025846e+00]";3.345663705584141e-08;0.6688600477516616;1e-06
6;"[-1.55318141e-01 -4.37333012e-05  8.92785733e-05  1.24526608e+00
  2.38938272e-05  1.24530366e+00]";3.3456637055841407e-07;1.0785701601122932;9.999999999999999e-06
7;"[-4.00723779e-01 -1.62063170e-04  3.23941198e-04  2.16687679e-01
  4.24725474e-04  2.16495490e-01]";3.3456637055841406e-06;2.5537562589519176;9.999999999999999e-05
8;"[-4.02025990e-01  4.45734012e-04  4.16171560e-04  1.31019886e-03
 -1.69730318e-05  1.34536089e-03]";3.345663705584141e-05;2.8549967700112937;0.001
9;"[-5.82797331e-01  4.14949408e-05  7.18996397e-04  7.95524574e-06
  1.04744194e-05  5.97378073e-06]";0.0003345663705584141;2.887836133146204;0.01
10;"[-1.05003192e+00 -1.50410223e-03 -1.68719940e-03 -1.30341288e-04
  7.21128436e-06 -1.33756374e-04]";0.003345663705584141;3.017221994840184;0.1
