;parameters;parameters with noise
0;[0.56043806 1.28047011];[0.55869561 1.28051062]
1;[0.56032059 1.28049854];[0.55938146 1.28051248]
2;[0.55902397 1.2804815 ];[0.5599344  1.28050389]
3;[0.55648325 1.28049289];[0.55808403 1.280512  ]
4;[0.55923516 1.2804772 ];[0.56177922 1.28051836]
5;[0.55770282 1.28049711];[0.55954967 1.28050587]
6;[0.55941402 1.28048065];[0.56063306 1.28050847]
7;[0.55962549 1.28047989];[0.55719887 1.28051796]
8;[0.56170932 1.28048293];[0.55704998 1.28052488]
9;[0.55754936 1.28049355];[0.55891714 1.28052279]
10;[0.55823329 1.28049056];[0.56084466 1.28050931]
11;[0.56003582 1.28047717];[0.55936439 1.28050877]
12;[0.55823182 1.28047939];[0.56138267 1.28051248]
13;[0.55919997 1.28047822];[0.5587536  1.28050773]
14;[0.55809732 1.28048508];[0.56044189 1.28050763]
15;[0.56169601 1.28048374];[0.55991296 1.28050858]
16;[0.55896197 1.28048376];[0.5611351  1.28051471]
17;[0.55896433 1.28047893];[0.55744066 1.28052569]
18;[0.56098187 1.28047415];[0.56324875 1.28051366]
19;[0.55919583 1.28046686];[0.55985695 1.28050238]
