;parameters;standard deviation;distance;eps
0;[0.558384   1.28048532];0.0;3.761194245934611;0.0
1;[0.55927458 1.280475  ];1.7627403431105426e-10;3.7613367709872074;1e-10
2;[0.55663981 1.28048041];1.7627403431105425e-09;3.76094055793987;1e-09
3;[0.55790079 1.28047513];1.7627403431105425e-08;3.7611326130952967;1e-08
4;[0.55941808 1.28048293];1.7627403431105424e-07;3.76135026212604;1e-07
5;[0.556756   1.28048801];1.7627403431105425e-06;3.7609502366849146;1e-06
6;[0.56039046 1.28048029];1.7627403431105423e-05;3.7614976223268664;9.999999999999999e-06
7;[0.5587084  1.28024131];0.00017627403431105424;3.7614837240171544;9.999999999999999e-05
8;[0.55940537 1.28085017];0.0017627403431105424;3.7609852175718776;0.001
9;[0.56489547 1.30526656];0.017627403431105425;3.737668003388415;0.01
10;[-0.39245819  0.24235153];0.17627403431105426;4.773807951615155;0.1
