;parameters;standard deviation;distance;eps
0;[[4.57129237]];0.0;0.4287076271373689;0.0
1;[[4.57129237]];1.7627403431105426e-10;0.42870762771815585;1e-10
2;[[4.57129237]];1.7627403431105425e-09;0.42870763030501724;1e-09
3;[[4.57129237]];1.7627403431105425e-08;0.4287076335428379;1e-08
4;[[4.57129326]];1.7627403431105424e-07;0.4287067419968533;1e-07
5;[[4.57127461]];1.7627403431105425e-06;0.4287253916750071;1e-06
6;[[4.5712568]];1.7627403431105423e-05;0.42874319709320297;9.999999999999999e-06
7;[[4.5712283]];0.00017627403431105424;0.4287717038057126;9.999999999999999e-05
8;[[4.57796826]];0.0017627403431105424;0.42203174087594864;0.001
9;[[4.47581985]];0.017627403431105425;0.5241801503064858;0.01
10;[[0.44714575]];0.17627403431105426;4.552854246264366;0.1
