;parameters;standard deviation;distance;eps
0;[0.02220298 4.60901435];0.0;0.3916155667883527;0.0
1;[0.02261524 4.60884408];1.7627403431105426e-10;0.39180914195353633;1e-10
2;[0.02221871 4.60900798];1.7627403431105425e-09;0.3916228196889243;1e-09
3;[0.02216395 4.60903154];1.7627403431105425e-08;0.39159618829521947;1e-08
4;[0.02216406 4.60904083];1.7627403431105424e-07;0.39158692483043545;1e-07
5;[0.02221973 4.60890971];1.7627403431105425e-06;0.39172098320648396;1e-06
6;[0.02232057 4.60948354];1.7627403431105423e-05;0.3911538264084961;9.999999999999999e-06
7;[0.02269396 4.60038099];0.00017627403431105424;0.4002628761437767;9.999999999999999e-05
8;[0.02669329 4.62651133];0.0017627403431105424;0.37444133912190963;0.001
9;[0.10562948 3.45257146];0.017627403431105425;1.551029552034173;0.01
10;[0.34626809 0.06004087];0.17627403431105426;4.952080143877766;0.1
