;parameters;parameters with noise
0;[ 0.48203432  0.08683503 -0.09203311];[ 0.53711297  0.06331347 -0.06369326]
1;[ 0.5370496  -0.1458299  -0.15341582];[0.63212224 0.36200445 0.17995608]
2;[ 1.70206907  0.46310605 -0.01006694];[ 0.59623271  0.11053973 -0.09582153]
3;[ 0.53680147 -0.06214446 -0.05845854];[ 0.9470136   0.93747845 -0.09459959]
4;[ 0.64458587  0.14368356 -0.10704918];[ 0.66211429 -0.13418872 -0.01599292]
5;[ 1.45204613  0.37151625 -0.00755886];[ 0.54604302  0.0456167  -0.11512092]
6;[ 0.53964118 -0.16465128 -0.07808125];[ 1.88750291 -0.47690249  0.03986595]
7;[ 0.46898727  0.13530333 -0.14667994];[ 1.97415251 -0.57543565  0.0905252 ]
8;[ 0.60638306 -0.14964061 -0.11498083];[ 0.57863328 -0.01960772 -0.02491853]
9;[ 0.43667257 -0.0252464  -0.06027787];[ 0.4991187  -0.00210782 -0.07259604]
10;[ 1.68623839 -0.51864342  0.15399358];[ 0.49529329 -0.0098271  -0.06105234]
11;[ 0.40063547 -0.01717717 -0.0163656 ];[ 0.4983613   0.02380553 -0.08707114]
12;[ 0.58465657 -0.16520689 -0.08851167];[ 0.47168795 -0.04379076 -0.02022746]
13;[ 0.49565262 -0.08779484 -0.01222039];[ 0.55804787 -0.01525259 -0.06439864]
14;[ 0.48143918 -0.0563566  -0.00625451];[ 0.60632836 -0.13907347 -0.04208468]
15;[ 0.55730357 -0.10605186 -0.07228787];[ 0.58785096 -0.20341524 -0.02844931]
16;[ 2.05046552 -0.62305107  0.12945666];[ 0.50481287 -0.03600698 -0.00169503]
17;[ 0.55088133  0.10335117 -0.09526559];[ 0.57341209 -0.12404147 -0.12694735]
18;[ 1.2357232   0.3474589  -0.00758531];[2.66544894 1.34472164 0.25887286]
19;[ 0.50689948 -0.04385726 -0.0983532 ];[ 0.49391496 -0.01200793 -0.08200139]
