;parameters;standard deviation;distance;eps
0;[ 0.72359478 -0.70162427  0.30433121];0.0;8.753886090800549;0.0
1;[ 9.70581541e-01 -6.43153297e-11  6.15931116e-02];6.730479923015435e-10;8.990948016230611;1e-10
2;[0.92960961 0.10382592 0.0702724 ];6.730479923015435e-09;8.978585014631182;1e-09
3;[ 9.40657110e-01 -4.76105354e-10  7.25527839e-02];6.730479923015435e-08;8.97686747117087;1e-08
4;[1.05564462e+00 1.37522241e-08 6.53965082e-02];6.730479923015435e-07;8.99675080851135;1e-07
5;[ 1.01290853e+00 -1.76565547e-07  7.62057393e-02];6.730479923015435e-06;8.981096130555798;1e-06
6;[9.38602267e-01 1.22774753e-06 8.53898020e-02];6.730479923015435e-05;8.963885831397338;9.999999999999999e-06
7;[1.00201267e+00 1.70093688e-05 9.56151573e-02];0.0006730479923015435;8.960585852778125;9.999999999999999e-05
8;[9.65983428e-01 7.68807618e-05 7.82792616e-02];0.006730479923015435;8.973863433475778;0.001
9;[0.65109551 0.00364698 0.06549326];0.06730479923015435;8.958200114427024;0.01
10;[ 0.88111955 -0.01243978  0.05979133];0.6730479923015436;8.983532572389489;0.1
