;parameters;standard deviation;distance;eps
0;[[-5.35215669e-15  9.00016472e+00]];0.0;0.00016472437668646478;0.0
1;[[-1.19670793e-09  9.00016475e+00]];6.730479923015435e-10;0.00016474823150937608;1e-10
2;[[-3.69527297e-08  9.00016489e+00]];6.730479923015435e-09;0.00016489100673482978;1e-09
3;[[-5.27650166e-07  9.00016496e+00]];6.730479923015435e-08;0.00016495715773191471;1e-08
4;[[-3.02534092e-07  9.00010564e+00]];6.730479923015435e-07;0.00010564302083164601;1e-07
5;[[7.65421221e-05 9.00005202e+00]];6.730479923015435e-06;9.254542221126725e-05;1e-06
6;[[-1.18630070e-03  8.97619828e+00]];6.730479923015435e-05;0.023831268302374437;9.999999999999999e-06
7;[[-0.00943138  7.39459523]];0.0006730479923015435;1.6054324742698831;9.999999999999999e-05
8;[[0.01718179 3.42928795]];0.006730479923015435;5.570738547983912;0.001
9;[[0.41308051 3.4761954 ]];0.06730479923015435;5.539228539227645;0.01
10;[[-1.35939665  3.49030953]];0.6730479923015436;5.674913947150967;0.1
