;parameters;standard deviation;distance;eps
0;[-2.60396460e-02 -5.42277407e-06  9.01075217e+00];0.0;0.028172191697780576;0.0
1;[-2.60402592e-02 -2.59934353e-06  9.01079455e+00];6.730479923015435e-10;0.028188960116179163;1e-10
2;[-2.60394083e-02  6.86287634e-06  9.01077008e+00];6.730479923015435e-09;0.028178812224464455;1e-09
3;[-2.60239495e-02  5.47421617e-05  9.01060783e+00];6.730479923015435e-08;0.028102936318592026;1e-08
4;[-2.64684788e-02 -8.30346703e-05  9.01424325e+00];6.730479923015435e-07;0.03005756657785062;1e-07
5;[-2.37515629e-02  5.38506363e-04  9.03214208e+00];6.730479923015435e-06;0.03996923699342205;1e-06
6;[-3.66377072e-02 -4.40210054e-04  9.02846638e+00];6.730479923015435e-05;0.04639881754782741;9.999999999999999e-06
7;[-0.07415747  0.01268871  6.27190842];0.0006730479923015435;2.7291288013372537;9.999999999999999e-05
8;[-0.19088608 -0.08739329  3.37143474];0.006730479923015435;5.632479199397363;0.001
9;[-0.18286611  1.07321635  3.43498491];0.06730479923015435;5.670504947006029;0.01
10;[-26.25527467  -2.06762196   3.42366421];0.6730479923015436;26.920438879398336;0.1
